id,month,year,tkn_mg_l,tot_precip
Ausable_R,May,1995,0.9107692,95.6
Ausable_R,May,1996,0.65,68.525
Ausable_R,May,1997,1.76,89.05
Ausable_R,May,2000,2.5533333,126.975
Ausable_R,May,2001,1.1333333,90.675
Ausable_R,May,2003,0.805,132.45
Ausable_R,May,2004,0.69666666,137.375
Ausable_R,May,2005,0.68666667,28.35
Ausable_R,May,2007,0.6066667,64.05
Ausable_R,May,2008,0.5783333,90.525
Ausable_R,May,2009,0.49833333,68.9
Ausable_R,May,2010,0.54333335,74.95
Ausable_R,May,2011,2.89,124.55
Ausable_R,October,1979,0.94142854,78.3
Ausable_R,October,1980,0.89666665,81.15
Ausable_R,October,1981,0.89,108.925
Ausable_R,October,1982,0.775,48.875
Ausable_R,October,1983,0.64625,100.95
Ausable_R,October,1984,0.6775,47.275
Ausable_R,October,1985,0.71875,98.1
Ausable_R,October,1987,0.84375,69.125
Ausable_R,October,1988,0.99,106.85
Ausable_R,October,1989,1.064,75.625
Ausable_R,October,1990,0.82875,115.125
Ausable_R,October,1991,0.81875,96.575
Ausable_R,October,1992,0.76125,57.95
Ausable_R,October,1994,0.6107692,45.75
Ausable_R,October,1995,0.62,135.875
Ausable_R,October,1996,1.26,80.325
Ausable_R,October,2000,0.64,44.975
Ausable_R,October,2001,0.87666667,128.65
Ausable_R,October,2002,0.7733333,64.225
Ausable_R,October,2003,0.6816667,96.775
Ausable_R,October,2004,0.475,66.075
Ausable_R,October,2005,0.62333333,62.975
Ausable_R,October,2006,1.1116667,137.45
Ausable_R,October,2007,0.545,74.975
Ausable_R,October,2008,0.61,54.7
Ausable_R,October,2009,0.6066667,100.2
Ausable_R,October,2010,0.5733333,56.3
Ausable_R,October,2011,0.6666667,117.7
Ausable_R,September,1979,1.5628572,53.075
Ausable_R,September,1980,1.0325,91.175
Ausable_R,September,1981,1.05625,151.925
Ausable_R,September,1982,0.95,102.933334
Ausable_R,September,1983,0.7025,76.525
Ausable_R,September,1984,1.4025,72.3
Ausable_R,September,1985,1.6325,79.8
Ausable_R,September,1986,0.9,196.05
Ausable_R,September,1987,0.89,122.95
Ausable_R,September,1988,1.085,73.15
Ausable_R,September,1989,1.0025,62.075
Ausable_R,September,1990,1.1871428,104.025
Ausable_R,September,1991,0.985,64.65
Ausable_R,September,1992,0.6975,110.525
Ausable_R,September,1993,0.965,100.475
Ausable_R,September,1994,0.61,59.225
Ausable_R,September,1995,0.63363636,60.5
Ausable_R,September,1996,1,135.925
Ausable_R,September,2000,1,80.025
Ausable_R,September,2001,0.56666666,101.7
Ausable_R,September,2002,0.75333333,56.75
Ausable_R,September,2003,0.7,103.85
Ausable_R,September,2004,0.705,51.65
Ausable_R,September,2005,0.5133333,83.725
Ausable_R,September,2006,0.57,102.525
Ausable_R,September,2007,0.6,47.075
Ausable_R,September,2008,0.74666667,99.975
Ausable_R,September,2009,0.5883333,51.825
Ausable_R,September,2010,0.45833334,134.425
Ausable_R,September,2011,1.055,136.5
Bayfield_R,April,1979,0.5075,108.65
Bayfield_R,April,1980,2.45,96.4
Bayfield_R,April,1981,1.7,72.1
Bayfield_R,April,1982,0.85,50.85
Bayfield_R,April,1983,0.5775,95.5
Bayfield_R,April,1984,0.9325,77.1
Bayfield_R,April,1985,0.6125,59.5
Bayfield_R,April,1986,0.6675,56.25
Bayfield_R,April,1987,0.985,55.05
Bayfield_R,April,1988,0.7925,74.075
Bayfield_R,April,1989,0.71,41.2
Bayfield_R,April,1990,0.5575,69.6
Bayfield_R,April,1991,3.9475,112.275
Bayfield_R,April,1992,0.865,96.4
Bayfield_R,April,1993,0.5425,101.05
Bayfield_R,April,1994,0.545,86.825
Bayfield_R,April,1995,0.4225,78.575
Bayfield_R,April,2001,0.48,39.175
Bayfield_R,April,2003,0.435,65.8
Bayfield_R,April,2004,0.435,53.5
Bayfield_R,April,2005,0.565,103.35
Bayfield_R,April,2007,0.56,78.825
Bayfield_R,April,2008,0.51,55.3
Bayfield_R,April,2009,0.535,121.45
Bayfield_R,April,2010,0.435,52.65
Bayfield_R,April,2011,0.39,146.225
Bayfield_R,August,1979,0.73,99.85
Bayfield_R,August,1980,0.53,71.675
Bayfield_R,August,1981,0.58666664,131.75
Bayfield_R,August,1982,0.6433333,75.775
Bayfield_R,August,1983,0.64,52.2
Bayfield_R,August,1984,0.54,122
Bayfield_R,August,1985,0.715,120
Bayfield_R,August,1986,0.66,92.4
Bayfield_R,August,1987,0.4575,89.625
Bayfield_R,August,1989,0.61,40.05
Bayfield_R,August,1990,0.605,101.25
Bayfield_R,August,1991,0.495,68.725
Bayfield_R,August,1992,0.5975,105.8
Bayfield_R,August,1993,0.585,46.175
Bayfield_R,August,1994,0.5775,99.525
Bayfield_R,August,1995,1.0425,96.625
Bayfield_R,August,2000,0.61,86.425
Bayfield_R,August,2001,0.77,56.875
Bayfield_R,August,2002,0.68,31.875
Bayfield_R,August,2003,0.54,55.775
Bayfield_R,August,2004,0.495,90.25
Bayfield_R,August,2005,0.45,84.6
Bayfield_R,August,2006,0.545,60.3
Bayfield_R,August,2007,0.4,81.175
Bayfield_R,August,2008,0.55,55.65
Bayfield_R,August,2009,0.545,89.725
Bayfield_R,August,2010,0.485,79.65
Bayfield_R,August,2011,0.475,71.575
Bayfield_R,July,1979,0.72,62.775
Bayfield_R,July,1980,0.87666667,139.65
Bayfield_R,July,1981,0.885,77.925
Bayfield_R,July,1982,0.57666665,52.25
Bayfield_R,July,1983,0.63,81.025
Bayfield_R,July,1984,0.6,58.25
Bayfield_R,July,1985,1.18,81.125
Bayfield_R,July,1986,0.53,103.625
Bayfield_R,July,1987,0.74,90.475
Bayfield_R,July,1988,1.0125,75.65
Bayfield_R,July,1989,0.6475,58.525
Bayfield_R,July,1990,1.345,85.825
Bayfield_R,July,1991,1.0875,71.3
Bayfield_R,July,1992,1.2825,143.4
Bayfield_R,July,1993,0.6225,64.175
Bayfield_R,July,1994,0.63,90.075
Bayfield_R,July,1995,0.5725,100.875
Bayfield_R,July,2000,0.82,57.075
Bayfield_R,July,2001,0.61,35.95
Bayfield_R,July,2002,0.78,53.3
Bayfield_R,July,2003,0.6166667,75.7
Bayfield_R,July,2004,1.25,83.375
Bayfield_R,July,2005,0.8,74.9
Bayfield_R,July,2006,0.63,109.725
Bayfield_R,July,2007,0.44,92.825
Bayfield_R,July,2008,2.015,114.375
Bayfield_R,July,2009,0.48,112.4
Bayfield_R,July,2010,0.525,83.4
Bayfield_R,July,2011,0.54,82.45
Bayfield_R,June,1979,0.66,86.4
Bayfield_R,June,1980,0.55,99.15
Bayfield_R,June,1981,0.8333333,118.1
Bayfield_R,June,1982,0.6933333,98.4
Bayfield_R,June,1983,0.6625,61.1
Bayfield_R,June,1984,1.4025,51.8
Bayfield_R,June,1985,0.585,59.275
Bayfield_R,June,1986,0.53,97.375
Bayfield_R,June,1987,0.6625,100.45
Bayfield_R,June,1988,0.6475,53.225
Bayfield_R,June,1989,0.69,88.6
Bayfield_R,June,1990,0.62,76.25
Bayfield_R,June,1991,0.6025,20.975
Bayfield_R,June,1992,0.605,59.1
Bayfield_R,June,1993,0.66,110.25
Bayfield_R,June,1994,0.82,102.95
Bayfield_R,June,1995,0.4975,64.9
Bayfield_R,June,2000,1.63,137.475
Bayfield_R,June,2001,0.8,68.525
Bayfield_R,June,2003,0.65,67.575
Bayfield_R,June,2004,0.905,76.775
Bayfield_R,June,2005,0.555,61.825
Bayfield_R,June,2006,0.64,68
Bayfield_R,June,2007,0.755,55.55
Bayfield_R,June,2008,0.57,120.9
Bayfield_R,June,2009,0.56,90.3
Bayfield_R,June,2010,0.48,147.65
Bayfield_R,June,2011,0.535,103.425
Bayfield_R,May,1979,0.525,92.325
Bayfield_R,May,1980,0.67333335,63.675
Bayfield_R,May,1981,1.6666666,81.475
Bayfield_R,May,1982,0.6566667,48.65
Bayfield_R,May,1983,0.495,131.175
Bayfield_R,May,1984,0.6125,102.275
Bayfield_R,May,1985,0.61,76.2
Bayfield_R,May,1986,0.4875,93.5
Bayfield_R,May,1987,0.5825,61.125
Bayfield_R,May,1988,0.72,37.05
Bayfield_R,May,1989,0.5225,92.275
Bayfield_R,May,1990,0.735,86.675
Bayfield_R,May,1991,0.5,102.425
Bayfield_R,May,1992,0.54,61.025
Bayfield_R,May,1993,0.565,62.375
Bayfield_R,May,1994,0.565,72.525
Bayfield_R,May,1995,0.44,95.6
Bayfield_R,May,2000,0.7,126.975
Bayfield_R,May,2001,0.63,90.675
Bayfield_R,May,2003,0.726,132.45
Bayfield_R,May,2004,0.435,137.375
Bayfield_R,May,2005,0.44,28.35
Bayfield_R,May,2007,0.48,64.05
Bayfield_R,May,2008,0.43,90.525
Bayfield_R,May,2009,0.505,68.9
Bayfield_R,May,2010,0.45,74.95
Bayfield_R,May,2011,1.69,124.55
Bayfield_R,October,1979,0.45,78.3
Bayfield_R,October,1980,0.65,81.15
Bayfield_R,October,1981,1.97,108.925
Bayfield_R,October,1982,0.65,48.875
Bayfield_R,October,1983,0.575,100.95
Bayfield_R,October,1984,0.5725,47.275
Bayfield_R,October,1985,0.5825,98.1
Bayfield_R,October,1987,0.3375,69.125
Bayfield_R,October,1988,1.165,106.85
Bayfield_R,October,1990,0.52666664,115.125
Bayfield_R,October,1991,0.51,96.575
Bayfield_R,October,1992,0.455,57.95
Bayfield_R,October,1994,0.505,45.75
Bayfield_R,October,1995,0.755,135.875
Bayfield_R,October,2000,0.54,44.975
Bayfield_R,October,2001,0.52,128.65
Bayfield_R,October,2002,1.035,64.225
Bayfield_R,October,2003,0.6925,96.775
Bayfield_R,October,2004,0.58,66.075
Bayfield_R,October,2005,0.45,62.975
Bayfield_R,October,2006,0.585,137.45
Bayfield_R,October,2007,0.395,74.975
Bayfield_R,October,2008,0.555,54.7
Bayfield_R,October,2009,0.4,100.2
Bayfield_R,October,2010,0.475,56.3
Bayfield_R,October,2011,0.56,117.7
Bayfield_R,September,1979,0.7475,53.075
Bayfield_R,September,1980,0.71666664,91.175
Bayfield_R,September,1981,0.8325,151.925
Bayfield_R,September,1982,0.54333335,102.933334
Bayfield_R,September,1983,0.5625,76.525
Bayfield_R,September,1984,0.545,72.3
Bayfield_R,September,1985,0.58,79.8
Bayfield_R,September,1986,0.4625,196.05
Bayfield_R,September,1987,0.505,122.95
Bayfield_R,September,1988,0.4525,73.15
Bayfield_R,September,1989,0.5075,62.075
Bayfield_R,September,1990,0.955,104.025
Bayfield_R,September,1991,0.5425,64.65
Bayfield_R,September,1992,0.495,110.525
Bayfield_R,September,1993,0.635,100.475
Bayfield_R,September,1994,0.5175,59.225
Bayfield_R,September,1995,0.7625,60.5
Bayfield_R,September,2000,0.55,80.025
Bayfield_R,September,2001,0.62,101.7
Bayfield_R,September,2002,0.715,56.75
Bayfield_R,September,2003,0.6275,103.85
Bayfield_R,September,2004,1.02,51.65
Bayfield_R,September,2005,0.385,83.725
Bayfield_R,September,2006,0.825,102.525
Bayfield_R,September,2007,0.43,47.075
Bayfield_R,September,2008,1.085,99.975
Bayfield_R,September,2009,0.47,51.825
Bayfield_R,September,2010,0.56,134.425
Bayfield_R,September,2011,0.575,136.5
Big_Ck,April,1980,0.605,96.4
Big_Ck,April,1981,0.46,72.1
Big_Ck,April,1982,0.37,50.85
Big_Ck,April,1983,0.6,95.5
Big_Ck,April,1984,0.40666667,77.1
Big_Ck,April,1985,0.49666667,59.5
Big_Ck,April,1986,0.39666668,56.25
Big_Ck,April,1987,0.67333335,55.05
Big_Ck,April,1988,0.585,74.075
Big_Ck,April,1991,0.635,112.275
Big_Ck,April,2001,0.5133333,39.175
Big_Ck,April,2003,0.42,65.8
Big_Ck,April,2004,0.545,53.5
Big_Ck,April,2005,0.4575,103.35
Big_Ck,April,2008,0.52,55.3
Big_Ck,April,2009,0.595,121.45
Big_Ck,April,2010,0.4075,52.65
Big_Ck,April,2011,0.68333334,146.225
Big_Ck,August,1979,0.585,99.85
Big_Ck,August,1980,0.355,71.675
Big_Ck,August,1981,0.3,131.75
Big_Ck,August,1982,0.42333335,75.775
Big_Ck,August,1983,0.73,52.2
Big_Ck,August,1984,0.36333334,122
Big_Ck,August,1985,0.3425,120
Big_Ck,August,1986,0.37,92.4
Big_Ck,August,1987,0.32333332,89.625
Big_Ck,August,1988,0.425,87.9
Big_Ck,August,1989,0.4125,40.05
Big_Ck,August,1991,0.36,68.725
Big_Ck,August,2001,0.328,56.875
Big_Ck,August,2002,0.3925,31.875
Big_Ck,August,2004,0.3025,90.25
Big_Ck,August,2005,0.356,84.6
Big_Ck,August,2006,0.4225,60.3
Big_Ck,August,2008,0.515,55.65
Big_Ck,August,2011,0.38666666,71.575
Big_Ck,July,1979,0.42,62.775
Big_Ck,July,1980,0.505,139.65
Big_Ck,July,1981,0.305,77.925
Big_Ck,July,1982,0.31333333,52.25
Big_Ck,July,1983,0.555,81.025
Big_Ck,July,1984,0.47,58.25
Big_Ck,July,1985,0.55333334,81.125
Big_Ck,July,1986,0.43333334,103.625
Big_Ck,July,1987,0.47666666,90.475
Big_Ck,July,1988,0.565,75.65
Big_Ck,July,1989,0.45,58.525
Big_Ck,July,1990,0.57,85.825
Big_Ck,July,1991,0.45,71.3
Big_Ck,July,1995,0.56666666,100.875
Big_Ck,July,2001,0.38,35.95
Big_Ck,July,2003,0.435,75.7
