station_number,year,month,monthly_mean,min,max
02GE004,1986,6,,,
02GE004,1986,7,,,
02GE004,1984,6,,,
02GE004,1984,8,,,
02GE004,1938,2,,,
02GE004,1938,3,1.36300003528595,0.566999971866608,2.76099991798401
02GE004,1938,4,1.21000003814697,1.07000005245209,1.67900002002716
02GE004,1938,5,1.1599999666214,1.07000005245209,1.29799997806549
02GE004,1939,2,,,
02GE004,1939,3,,,
02GE004,1939,4,,,
02GE004,1939,5,,,
02GE004,1940,3,,,
02GE004,1940,4,2.06200003623962,0.994000017642975,5.27600002288818
02GE004,1940,5,1.14999997615814,1.02400004863739,1.69500005245209
02GE004,1941,3,,,
02GE004,1941,4,1.11899995803833,0.860000014305115,1.48399996757507
02GE004,1941,5,1.03799998760223,0.966000020503998,1.16400003433228
02GE004,1942,3,,,
02GE004,1942,4,1.27999997138977,1.13100004196167,1.55799996852875
02GE004,1943,2,,,
02GE004,1943,3,,,
02GE004,1944,3,1.54100000858307,0.913999974727631,2.1029999256134
02GE004,1944,4,1.74100005626678,1.40199995040894,2.74300003051758
02GE004,1955,3,2.50999999046326,1.80400002002716,3.86500000953674
02GE004,1955,4,1.932000041008,1.75300002098083,2.41400003433228
02GE004,1956,3,2.10800004005432,0.99099999666214,5.03499984741211
02GE004,1956,4,,,
02GE004,1956,5,,,
02GE004,1957,3,1.67999994754791,1.26800000667572,4.03900003433228
02GE004,1957,4,1.62699997425079,1.21899998188019,2.81599998474121
02GE004,1958,3,1.35899996757507,1.09099996089935,1.78600001335144
02GE004,1958,4,1.03600001335144,0.887000024318695,1.40799999237061
02GE004,1958,5,,,
02GE004,1959,3,2.02500009536743,1.05499994754791,3.42899990081787
02GE004,1959,4,1.87300002574921,1.02699995040894,3.93799996376038
02GE004,1960,3,1.27600002288818,1.05499994754791,3.21300005912781
02GE004,1960,4,2.85199999809265,1.49399995803833,5.69999980926514
02GE004,1961,3,1.42799997329712,1.04900002479553,2.66700005531311
02GE004,1961,4,1.67299997806549,1.30799996852875,2.61800003051758
02GE004,1962,3,1.94400000572205,1.0789999961853,2.86199998855591
02GE004,1962,4,1.4099999666214,1.16999995708466,2.67899990081787
02GE004,1963,3,2.02699995040894,0.712999999523163,5.28499984741211
02GE004,1963,4,1.37999999523163,1.00300002098083,4.40700006484985
02GE004,1963,5,,,
02GE004,1964,3,0.957000017166138,0.418000012636185,1.81099998950958
02GE004,1964,4,1.00199997425079,0.73199999332428,2.0699999332428
02GE004,1965,2,,,
02GE004,1965,3,1.71200001239777,0.610000014305115,5.98299980163574
02GE004,1965,4,1.7960000038147,1.02400004863739,3.48399996757507
02GE004,1965,5,,,
02GE004,1966,3,1.50600004196167,1.09700000286102,1.96899998188019
02GE004,1986,4,,,
02GE004,1966,4,1.34500002861023,1.14600002765656,1.68900001049042
02GE004,1966,5,,,
02GE004,1967,2,,,
02GE004,1967,3,1.57299995422363,1.0789999961853,3.21600008010864
02GE004,1967,4,2.05800008773804,1.35599994659424,3.95900011062622
02GE004,1967,5,,,
02GE004,1968,3,1.9539999961853,1.23099994659424,2.8989999294281
02GE004,1968,4,1.49699997901917,1.31700003147125,1.91100001335144
02GE004,1968,5,,,
02GE004,1969,3,1.85500001907349,1.34399998188019,3.30999994277954
02GE004,1969,4,2.14400005340576,1.57000005245209,3.47499990463257
02GE004,1969,5,,,
02GE004,1970,3,1.49500000476837,1.09399998188019,1.90799999237061
02GE004,1970,4,1.94599997997284,1.32299995422363,3.12700009346008
02GE004,1970,5,,,
02GE004,1971,3,2.17000007629395,1.56400001049042,3.07200002670288
02GE004,1971,4,2.05200004577637,1.66400003433228,3.3529999256134
02GE004,1971,5,,,
02GE004,1972,3,2.13899993896484,1.51800000667572,3.33100008964539
02GE004,1972,4,2.26999998092651,1.68599998950958,3.62400007247925
02GE004,1972,5,,,
02GE004,1973,3,3.00399994850159,1.93900001049042,4.77600002288818
02GE004,1973,4,2.19799995422363,1.96300005912781,2.68499994277954
02GE004,1973,5,,,
02GE004,1974,3,,,
02GE004,1974,4,2.31200003623962,1.96899998188019,3.77999997138977
02GE004,1974,5,,,
02GE004,1974,9,,,
02GE004,1974,10,1.82299995422363,1.71000003814697,2.09100008010864
02GE004,1974,11,1.83299994468689,1.68599998950958,2.1029999256134
02GE004,1974,12,1.82599997520447,1.77400004863739,1.92599999904633
02GE004,1975,1,2.03399991989136,1.68599998950958,3.00500011444092
02GE004,1975,2,2.20700001716614,1.67299997806549,3.84699988365173
02GE004,1975,3,2.37199997901917,1.76199996471405,3.70600008964539
02GE004,1975,4,2.3289999961853,1.91400003433228,4.13600015640259
02GE004,1975,5,1.91600000858307,1.85000002384186,1.96599996089935
02GE004,1975,6,1.98500001430511,1.88999998569489,2.05399990081787
02GE004,1975,7,1.94000005722046,1.88999998569489,2.01500010490417
02GE004,1975,8,1.91600000858307,1.82599997520447,2.06699991226196
02GE004,1986,5,,,
02GE004,1975,9,1.97500002384186,1.70099997520447,2.35899996757507
02GE004,1975,10,1.80599999427795,1.68599998950958,1.9539999961853
02GE004,1975,11,1.74000000953674,1.57299995422363,1.9539999961853
02GE004,1975,12,1.86199998855591,1.68599998950958,2.27099990844727
02GE004,1976,1,1.91400003433228,1.78600001335144,2.11800003051758
02GE004,1976,2,2.76799988746643,1.75,4.54199981689453
02GE004,1976,3,3.14499998092651,2.1949999332428,4.96199989318848
02GE004,1976,4,2.16700005531311,1.88999998569489,2.99300003051758
02GE004,1976,5,2.19199991226196,1.96599996089935,2.88000011444092
02GE004,1976,6,1.99800002574921,1.96599996089935,2.02699995040894
02GE004,1976,7,2.08699989318848,1.96599996089935,2.3840000629425
02GE004,1976,8,1.9889999628067,1.88999998569489,2.1949999332428
02GE004,1976,9,1.84399998188019,1.78600001335144,1.99000000953674
02GE004,1976,10,1.72800004482269,1.63399994373322,1.83800005912781
02GE004,1976,11,1.71800005435944,1.63399994373322,2.01500010490417
02GE004,1976,12,1.66700005531311,1.59700000286102,1.76199996471405
02GE004,1977,1,1.45700001716614,1.36199998855591,1.56700003147125
02GE004,1977,2,1.38399994373322,1.33800005912781,1.67900002002716
02GE004,1977,3,2.97099995613098,1.7039999961853,6.34000015258789
02GE004,1977,4,1.88900005817413,1.61500000953674,2.71000003814697
02GE004,1977,5,1.67799997329712,1.63100004196167,1.75600004196167
02GE004,1977,6,1.66600000858307,1.59099996089935,1.74300003051758
02GE004,1977,7,1.60599994659424,1.53900003433228,1.65499997138977
02GE004,1977,8,1.54299998283386,1.51499998569489,1.60300004482269
02GE004,1977,9,1.68400001525879,1.50300002098083,2.51799988746643
02GE004,1977,10,1.67599999904633,1.35899996757507,2.12400007247925
02GE004,1977,11,1.57599997520447,1.34700000286102,1.99300003051758
02GE004,1977,12,2.33100008964539,1.58800005912781,3.91100001335144
02GE004,1978,1,1.7039999961853,1.52400004863739,1.90499997138977
02GE004,1978,2,1.60000002384186,1.54799997806549,1.65199995040894
02GE004,1978,3,2.5220000743866,1.625,5.0019998550415
02GE004,1978,4,3.00999999046326,1.69200003147125,4.69700002670288
02GE004,1978,5,1.74899995326996,1.60300004482269,1.96599996089935
02GE004,1978,6,1.71099996566772,1.65199995040894,1.79200005531311
02GE004,1978,7,1.67299997806549,1.63399994373322,1.71300005912781
02GE004,1978,8,1.62199997901917,1.56099998950958,1.68900001049042
02GE004,1978,9,1.58200001716614,1.41999995708466,1.75300002098083
02GE004,1978,10,1.55099999904633,1.46899998188019,1.70700001716614
02GE004,1978,11,1.44900000095367,1.28600001335144,1.56099998950958
02GE004,1978,12,1.44900000095367,1.34399998188019,1.58200001716614
02GE004,1979,1,1.60699999332428,1.39300000667572,2.34400010108948
02GE004,1979,2,1.50399994850159,1.40799999237061,1.73699998855591
02GE004,1979,3,2.56900000572205,1.61800003051758,5.97399997711182
02GE004,1979,4,2.65499997138977,1.75300002098083,5.47399997711182
02GE004,1979,5,1.81400001049042,1.72800004482269,1.96300005912781
02GE004,1979,6,1.8309999704361,1.75300002098083,1.99300003051758
02GE004,1979,7,1.83399999141693,1.78900003433228,1.87800002098083
02GE004,1979,8,1.83200001716614,1.77699995040894,1.93900001049042
02GE004,1979,9,1.80499994754791,1.73699998855591,1.91100001335144
02GE004,1979,10,1.72200000286102,1.58800005912781,1.82299995422363
02GE004,1979,11,1.90199995040894,1.60899996757507,3.12400007247925
02GE004,1979,12,2.09100008010864,1.61199998855591,4.20300006866455
02GE004,1980,1,1.84899997711182,1.682000041008,2.28299999237061
02GE004,1980,2,1.6599999666214,1.62199997901917,1.72200000286102
02GE004,1980,3,2.15899991989136,1.55099999904633,4.2979998588562
02GE004,1980,4,2.19099998474121,1.8289999961853,3.21900010108948
02GE004,1980,5,1.84500002861023,1.53299999237061,1.97500002384186
02GE004,1980,6,1.8860000371933,1.82000005245209,2.03299999237061
02GE004,1980,7,1.88499999046326,1.82599997520447,2.16100001335144
02GE004,1980,8,1.90600001811981,1.82599997520447,2.04200005531311
02GE004,1980,9,1.85199999809265,1.77699995040894,1.98399996757507
02GE004,1980,10,1.72800004482269,1.63699996471405,1.84700000286102
02GE004,1980,11,1.60800004005432,1.46899998188019,1.71899998188019
02GE004,1980,12,1.60399997234344,1.3289999961853,2.01200008392334
02GE004,1981,1,1.25300002098083,1.11899995803833,1.44799995422363
02GE004,1981,2,2.57100009918213,1.43599998950958,5.26999998092651
02GE004,1981,3,1.75100004673004,1.54799997806549,2.99900007247925
