station_number,year,month,monthly_mean,min,max
02GE003,1993,4,157.0,52.7000007629395,464.0
02GD001,1938,2,70.3000030517578,8.06999969482422,309.0
02GD003,1972,4,69.6999969482422,10.0,221.0
02GE002,1997,3,117.0,56.5999984741211,238.0
02GE003,2020,1,173.0,45.7999992370605,615.0
02GE003,2019,2,123.0,29.6000003814697,408.0
02GE003,2019,3,109.0,28.2000007629395,353.0
02GE003,2019,4,148.0,52.4000015258789,347.0
02GE003,2019,5,115.0,39.4000015258789,218.0
02GD001,2005,2,27.2000007629395,7.0,111.0
02GD005,1982,4,61.2000007629395,8.47999954223633,354.0
02GD005,1996,2,24.6000003814697,5.80000019073486,76.0
02GD001,1920,1,2.46000003814697,2.11999988555908,3.10999989509583
02GD001,1920,2,2.64000010490417,2.41000008583069,2.69000005722046
02GD001,1920,3,44.0999984741211,2.82999992370605,221.0
02GD001,1920,4,18.7000007629395,10.8000001907349,39.9000015258789
02GD001,1920,5,6.46000003814697,3.10999989509583,14.6000003814697
02GD001,1920,6,3.20000004768372,1.77999997138977,5.03999996185303
02GD001,1920,7,4.65999984741211,2.26999998092651,19.1000003814697
02GD001,1920,8,3.91000008583069,1.36000001430511,14.1999998092651
02GD001,1920,9,2.01999998092651,1.36000001430511,2.82999992370605
02GD001,1920,10,3.82999992370606,1.47000002861023,11.3999996185303
02GD001,1920,11,9.85999965667725,5.32000017166138,21.1000003814697
02GD001,1920,12,17.7000007629395,9.34000015258789,45.9000015258789
02GD001,1925,5,3.71000003814697,2.38000011444092,5.65999984741211
02GD001,1925,6,1.73000001907349,1.26999998092651,2.57999992370605
02GD001,1925,7,1.61000001430511,1.26999998092651,2.38000011444092
02GD001,1925,8,2.13000011444092,1.26999998092651,3.8199999332428
02GD001,1925,9,2.08999991416931,1.19000005722046,3.27999997138977
02GD001,1925,10,2.52999997138977,1.55999994277954,4.07999992370605
02GD001,1925,11,9.72000026702881,2.94000005722046,21.7999992370605
02GD001,1925,12,6.96999979019165,4.5,22.7999992370605
02GD001,1926,1,6.96999979019165,6.96999979019165,6.96999979019165
02GD001,1926,2,7.59000015258789,7.59000015258789,7.59000015258789
02GD001,1926,3,56.7999992370605,18.3999996185303,261.0
02GD001,1926,4,51.2999992370605,16.3999996185303,192.0
02GD001,1915,7,5.65999984741211,1.70000004768372,16.0
02GD001,1915,8,16.2999992370605,6.63000011444092,40.2000007629395
02GD005,1995,2,4.34000015258789,3.0,8.0
02GD001,1915,9,12.3000001907349,4.59000015258789,43.2999992370605
02GD001,1915,10,11.6999998092651,5.6100001335144,26.0
02GD001,1915,11,13.3000001907349,4.61999988555908,34.0
02GD001,1915,12,16.0,10.6000003814697,27.0
02GD001,1916,1,60.5999984741211,14.6999998092651,185.0
02GD001,1916,2,20.3999996185303,13.3000001907349,129.0
02GD001,1916,3,33.9000015258789,13.3000001907349,179.0
02GD001,1916,4,34.9000015258789,14.6999998092651,81.8000030517578
02GD001,1916,5,34.4000015258789,12.8999996185303,88.3000030517578
02GD001,1916,8,2.5,1.55999994277954,3.30999994277954
02GD001,1916,9,2.03999996185303,1.33000004291534,4.19000005722046
02GD001,1916,10,3.25,1.41999995708466,7.55999994277954
02GD001,1916,11,3.14000010490417,1.08000004291534,6.42999982833862
02GD001,1916,12,4.5,2.94000005722046,8.10000038146973
02GD001,1917,1,7.07000017166138,4.21999979019165,17.1000003814697
